amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,995,0,1 Year,2,2,Apartment,$2395,2735 Clifton Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,,No,No,No,Yes,Yes,Yes,No,Yard;Balcony;,650,0,1 Year,2,1,Apartment,$2200,432 Herring Cove Road; Halifax; NS; B3R 1W4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,No,No,Yes,No,No,No,;Balcony;,900,0,1 Year,1,1,Apartment,$2250,Gottingen Street; Halifax; NS,Laundry (In Unit),,
,,No,,,,Limited,Yes,No,;Balcony;,Not Available,2,1 Year,4,3.5,House,$3100,Eliza Ritchie Court; Halifax; NS; B3M 0K5,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,,675,0,1 Year,1,1,Apartment,$1875,1619 Market Street; Halifax; NS; B3J 1K8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$1750,22 High street; Dartmouth; NS; B2W 1C7,Laundry (In Building),,Fridge / Freezer
Gym;Pool;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,Yes,No,;Balcony;,1;000,1,1 Year,2,2,Condo,$2995,Halifax; NS B3H 2Z8,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,No,No,Yes,No,No,Outdoors only,;Balcony;,1;120,1,1 Year,2 + Den,1.5,Condo,$2600,15 Langbrae Dr; Halifax; NS B3M 3W5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,No,No,Yes,Limited,Yes,No,Yard;Balcony;,780,2,1 Year,2,1,House,$1900,Sambro; NS B3V 1G1,,,Fridge / Freezer
Gym;;;;;Storage Space;Elevator in Building;,,No,Yes,No,No,Limited,No,No,;Balcony;,Not Available,1,1 Year,2,1.5,Apartment,$2100,150 Solutions Drive; Halifax; NS; B3S 0E5,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,1,1 Year,2,1.5,Apartment,$2300,150 Solutions Drive; Halifax; NS; B3S 0E5,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,884,0,1 Year,2,1,Apartment,$2100,1619 Market Street; Halifax; NS; B3J 1K8,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,913,0,1 Year,2,1,Apartment,$2350,1619 Market Street; Halifax; NS; B3J 1K8,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,1,1 Year,2 + Den,2,Apartment,$2400,137 Solutions Drive; Halifax; NS; B3S 0G5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,Limited,Yes,No,Yard;Balcony;,Not Available,1,1 Year,3,1.5,House,$3500,6490 London Street; Halifax; NS; B3L 1X4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,No,No,Yard;Balcony;,1;000,1,1 Year,3,1,Apartment,$2900,Liverpool Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,No,No,,Not Available,2,1 Year,3,1,Apartment,$2195,68 Melrose Avenue; Halifax; NS; B3N 2E4,Laundry (In Unit),,Fridge / Freezer
,,No,,,,Limited,No,No,,Not Available,1,1 Year,2,1,Apartment,$2100,36 Cowie Hill Road; Halifax; NS; B3P 2P7,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Yes,No,No,,Not Available,3+,1 Year,4,2.5,House,$3500,324 Kingswood Drive; Hammonds Plains; NS; B4B 1M1,,,
,,No,No,No,Yes,Yes,No,No,,Not Available,1,1 Year,1,1,Apartment,$1450,3223 Veith Street; Halifax; NS; B3K 3H1,,,
,,No,No,No,Yes,Limited,No,No,;Balcony;,Not Available,1,1 Year,3,1,Apartment,$2300,3223 Veith Street; Halifax; NS; B3K 3H1,Laundry (In Unit),,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,699,1,1 Year,1,1,Apartment,$1895,Supreme Court; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,No,No,No,,450,0,1 Year,Bachelor/Studio,1,Apartment,$1450,5681 Rhuland St; Halifax; NS B3H 4J6,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,Yard;;,550,1,1 Year,2,1,Basement,$1900,Halifax; NS B3N,Laundry (In Unit),,Fridge / Freezer
,,No,,,,No,Yes,Outdoors only,Yard;Balcony;,1;000,2,1 Year,2,1,House,$2250,12 Parkmoor Ave; Halifax; NS B3R 1B4,Laundry (In Unit),,
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,417,0,1 Year,Bachelor/Studio,1,Apartment,$1675,2334 Longard Plaza; Halifax; NS; B3K 5K6,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,Yes,No,,2;200,0,Month-to-month,3 + Den,1,Apartment,$620,1333 S Park St; Halifax; B3J 2K9,,,
Gym;;Concierge;;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,;Balcony;,1;200,1,1 Year,2,2,Condo,$3400,South Park Street; Halifax; NS; B3J 0H8,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;Pool;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,741,0,1 Year,1,1,Apartment,$1950,2001 Brunswick Street; Halifax; NS; B3J 3L8,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,No,No,,4;400,0,1 Year,3,3,House,$3995,12 Palmer Hill; Halifax; NS; B3N 1S5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,Yard;;,550,1,1 Year,2,1,Basement,$1900,Halifax; NS B3N,Laundry (In Unit),,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;437,0,1 Year,2 + Den,2,Apartment,$4195,5450 Kaye Street; Halifax; NS; B3K 0G7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
,Cable / TV;Internet;,Yes,Yes,No,Yes,No,Yes,No,;Balcony;,600,1,1 Year,1,1,House,$1275,6178 South St; Halifax; NS B3H 1T5,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Yes,Yes,No,,200,0,1 Year,1 + Den,1,Apartment,$1500,1452 Brenton St; Halifax; NS B3J 2K7,,,
,,No,No,No,Yes,Yes,Yes,No,;Balcony;,1,1,Not Available,3,1,Apartment,$2600,33 McIntosh Street; Halifax; NS; B3R 1G9,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,Yard;Balcony;,1;344,2,1 Year,3,1.5,House,$2300,Cranbery Crescent; Dartmouth; NS; B2W 5A9,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,,,,Yes,Yes,No,;Balcony;,880,0,1 Year,2,2,Apartment,$2975,3075 Devonshire Avenue; Halifax; NS; B3K 0H5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,Yes,Yes,No,No,No,,300,0,Month-to-month,Bachelor/Studio,1,Apartment,Please Contact,2630 Gottingen Street; Halifax; NS,,,
,,No,Yes,Yes,Yes,No,No,No,,1;000,0,1 Year,3,1,Apartment,$3100,Carlton Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,Outdoors only,,950,1,1 Year,2,1,Apartment,$1845,88 Evans Ave; Halifax; NS B3M 1C6,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Yes,No,Yes,Yard;;,1;500,2,1 Year,4,3.5,Apartment,$2795,14 Val St; Halifax; NS; B3N 3M6,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$1995,5511 Charles St.; Halifax; NS; B3K 1K1,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;Pool;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,2;400,1,1 Year,3,3.5,Apartment,$3250,Halifax; NS B3S 0B8,Laundry (In Unit),Dishwasher,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,,1;246,1,1 Year,2,2,Condo,$2850,6095 Coburg Road; Halifax; NS; B3H 4K1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,Yes,Outdoors only,;Balcony;,700,1,1 Year,1,1,Apartment,$1695,3210 Agricola Street; Halifax; NS,Laundry (In Unit),,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,No,No,No,,Not Available,0,1 Year,2,1,Apartment,$2395,2060  Quingate Place; Halifax; NS; B3L 4P7,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;Concierge;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,600,0,1 Year,1,1,Apartment,$2025,5121 Bishop Street; Halifax; NS; B3J 0E5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,,Not Available,0,1 Year,1,1,Apartment,$1750,2326 Agricola Street; Halifax; NS; B3K 4B6,Laundry (In Unit),,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,No,,Not Available,0,1 Year,1,1,Apartment,$1650,1271 Church Street; Halifax; NS; B3J 3L3,Laundry (In Building),,
Gym;;;;;Storage Space;Elevator in Building;,,No,No,No,Yes,Limited,No,No,;Balcony;,1;060,0,1 Year,2 + Den,1.5,Apartment,$3695,1030 South Park Street; Halifax; NS; B3J 2K9,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,,,,Yes,No,No,;Balcony;,890,0,1 Year,2,1,Apartment,$2725,1920 Brunswick Street; Halifax; NS; B3J 0C5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,Yes,No,Yes,No,No,No,,1;100,0,1 Year,2,1,Basement,$900,B3H1M9,Laundry (In Unit),Dishwasher,
;;;24 Hour Security;;;;,,No,Yes,Yes,Yes,Limited,No,No,,538,0,1 Year,1 + Den,1,Apartment,$1795,2473 Windsor Street; Halifax; NS; B3K 5B9,,,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,,528,0,1 Year,1,1,Apartment,$2195,6016 Pepperell Street; Halifax; NS; B3H 2N8,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,,936,0,1 Year,2,1,Apartment,$2395,7037 Mumford Rd; Halifax; NS; B3L 2J1,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;012,0,1 Year,2,1.5,Apartment,$2595,1343 Hollis Street; Halifax; NS; B3J 1T8,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$2195,1471 South Park Street; Halifax; NS; B3J 0J7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,Yard;Balcony;,Not Available,2,1 Year,3,2,Apartment,$2300,St. Margaret's Bay Road; Halifax; NS; B3N 1K1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,,Not Available,0,1 Year,4,1,Apartment,$2475,Robie Street; Halifax; NS; B3K 4P2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,Yard;Balcony;,Not Available,2,1 Year,4,2.5,House,$3600,Nightingale Drive; Halifax; NS; B3M 1V4,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$1795,7137 QUINPOOL ROAD; HALIFAX; NS; B3L 1C8,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,;Balcony;,Not Available,2,1 Year,3 + Den,1,House,$2100,Beaverbank Rd; Lower sackville; NS; B4E 1G4,Laundry (In Unit),,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$2795,1471 South Park Street; Halifax; NS; B3J 0J7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,No,Outdoors only,;Balcony;,1,0,1 Year,1,1,Apartment,$1795,2360 Hunter Street; Halifax; NS; B3K 4V6,Laundry (In Building),,Fridge / Freezer
,,No,Yes,Yes,Yes,No,No,Outdoors only,,1;000,0,1 Year,1,1,Apartment,$2250,Halifax; NS B3J 2K8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,Yard;;,900,0,1 Year,3,1,Apartment,$2700,Halifax; NS B3K 3B9,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,Yard;Balcony;,Not Available,3+,1 Year,5+,4.5,House,$5300,Admiral Cove Drive; Bedford; NS; B4A 3N8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,,600,0,1 Year,1,1,Apartment,$1995,Birmingham Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,Yes,No,,2;400,1,1 Year,4,3.5,Townhouse,$3000,45 Eliza Ritchie Cres; Halifax; NS B3M 1Y1,,,
;;;24 Hour Security;;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,1;300,1,1 Year,2 + Den,2,Apartment,$2650,Crown Drive; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1015 Barrington Street; Halifax; NS; B3H 4R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,Yes,Outdoors only,;Balcony;,700,1,1 Year,1,1,Apartment,$1695,3210 Agricola Street; Halifax; NS,Laundry (In Unit),,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;108,0,1 Year,2 + Den,2,Apartment,$2695,5251 South Street; Halifax; NS; B3J 4B2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,No,No,;Balcony;,1,0,1 Year,2,1,House,$814,Halifax; NS B3L 1T8,Laundry (In Unit),,Fridge / Freezer
,,No,Yes,Yes,Yes,No,No,No,,500,0,1 Year,1 + Den,1,Apartment,$1800,Morris St; Halifax; NS B3J 1C4,,Dishwasher,Fridge / Freezer
,,Yes,,,,No,No,No,,110,0,Month-to-month,1,1,Apartment,$750,6269 Cork St; Halifax; NS B3L 1Y8,,,
,;Internet;,Yes,Yes,No,Yes,No,No,No,,700,0,Month-to-month,4,2,Apartment,$800,Coburg Rd; Halifax; NS B3H 2A1,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,,,,No,No,No,,667,0,1 Year,1 + Den,1,Apartment,$2025,5251 South Street; Halifax; NS; B3J 4B2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,,219,0,1 Year,Bachelor/Studio,1,Apartment,$1395,1351 Barrington Street; Halifax; NS; B3J 1Y9,Laundry (In Building),,
,,No,,,,No,No,No,,4;400,0,1 Year,3,3,House,$3995,12 Palmer Hill; Halifax; NS; B3N 1S5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,,520,0,1 Year,1,1,Apartment,$1595,1343 Barrington Street; Halifax; NS; B3J 1Y9,Laundry (In Building),,
;;;;;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,1;300,1,1 Year,2 + Den,2,Apartment,$2650,Crown Drive; Halifax; NS,Laundry (In Unit),,
,,No,Yes,Yes,Yes,Limited,No,No,,700,0,1 Year,1,1,Apartment,$1710,Halifax; NS B3J 2E7,Laundry (In Building),,Fridge / Freezer
Gym;;;;;Storage Space;;,,No,No,No,Yes,Limited,No,No,;Balcony;,Not Available,2,1 Year,1,1,Condo,$2000,45 Vimy Avenue; Halifax; NS; B3M 1G4,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,No,No,Yes,Limited,Yes,Outdoors only,,1;089,1,1 Year,2,2,Condo,$2800,Halifax; NS B3M 1M9,,,
,,No,Yes,No,Yes,Yes,No,No,Yard;Balcony;,500,1,1 Year,1,1,Apartment,$1890,Connaught Avenue; Halifax; NS,Laundry (In Unit),,
;;;;;;Elevator in Building;,,Yes,No,No,Yes,No,No,No,,500,0,1 Year,1,1,Condo,$2050,Halifax; NS B3K 0C5,Laundry (In Unit),,Fridge / Freezer
,,No,No,No,Yes,No,No,No,Yard;;,1;800,1,1 Year,3 + Den,2.5,House,$4800,Creighton St; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,,,,Limited,Yes,Outdoors only,;Balcony;,1;250,1,Month-to-month,1 + Den,1,Apartment,Please Contact,Abbey Rd; Halifax; B3P 2M6,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,,100,1,Month-to-month,Bachelor/Studio,1,Apartment,$1495,Halifax; NS B3H 2W8,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,Yes,No,Yard;Balcony;,2;352,3+,1 Year,3 + Den,3.5,Townhouse,$2500,Halifax; NS B3J,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,;Balcony;,Not Available,3+,1 Year,3,2.5,House,$5500,Brecken Ridge Lane; Lower Sackville; NS; B4C 4G9,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,No,Yes,Yes,Yes,Yes,Yes,No,,800,0,Month-to-month,1,1,Apartment,$1800,Chambers Court; Halifax; NS,Laundry (In Unit),,
,,No,,,,Limited,No,Outdoors only,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$1250,137; 145; and 149 Walker Avenue; Lower Sackville; NS; B4C 4C2,,Dishwasher,
,Cable / TV;Internet;,Yes,Yes,Yes,Yes,Yes,Yes,Outdoors only,;Balcony;,1;032,2,1 Year,2,1.5,House,$1275,Halifax; NS B3J,,,
,,No,,,,Limited,Yes,No,Yard;Balcony;,2;000,2,1 Year,4,3.5,Townhouse,$3200,NS-102; Halifax; NS; B3K 4R2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,,750,0,1 Year,1,1,Apartment,$1600,5760 Inglis Street; Halifax; NS,Laundry (In Building),,
,,Yes,Yes,No,Yes,Limited,No,Outdoors only,Yard;;,100,3+,Month-to-month,1 + Den,1,Basement,$1450,Middle Sackville; NS B4E 3A7,,,
,;Internet;,No,Yes,No,Yes,No,No,No,,2,1,Month-to-month,2,2,Apartment,$900,Regency Park Dr; Halifax; NS B3S,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,6450 Bayers Road; Halifax; NS; B3L 0C7,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,1,1 Year,2,2,Apartment,$2325,420 Larry Uteck Boulevard; Halifax; NS; B3M 0G5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,Yes,No,Yes,No,No,No,Yard;Balcony;,1,0,1 Year,3,1,House,$3200,Halifax; NS B3L 3G8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,775,0,1 Year,1,1,Apartment,$1675,37 Main Ave; Halifax; NS B3M 1A2,,,
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$2295,5511 Charles St.; Halifax; NS; B3K 1K1,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,,Not Available,1,1 Year,1,1,Basement,$1450,3248 Veith Street; Halifax; NS; B3K 3H1,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,;Balcony;,2;500,1,1 Year,3,1.5,Townhouse,$2250,Bedford Highway; Halifax; NS B3M 2J2,Laundry (In Unit),,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,Yes,Yes,No,Yes,No,Yard;;,600,1,1 Year,1,1,Apartment,$2350,Henry Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,667,0,1 Year,1,1,Apartment,$1975,2334 Longard Plaza; Halifax; NS; B3K 5K6,Laundry (In Building),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,700,0,1 Year,1,1,Apartment,Please Contact,North St; Halifax; NS; B3M 2B3,,,
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,No,No,Yes,Limited,Yes,Outdoors only,,914,1,1 Year,2,1.5,Condo,$2500,45 Vimy Avenue; Halifax; NS,Laundry (In Unit),,
,,No,No,Yes,No,No,Yes,No,Yard;;,900,1,1 Year,2,1,Apartment,$2300,Main Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,Outdoors only,Yard;Balcony;,1;424,2,1 Year,3 + Den,1.5,Townhouse,$2100,266 Charles Road; Timberlea; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;437,0,1 Year,2 + Den,2,Apartment,$4195,5450 Kaye Street; Halifax; NS; B3K 0G7,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1015 Barrington Street; Halifax; NS; B3H 4R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,No,No,,500,1,1 Year,1 + Den,1,Apartment,Please Contact,6299 South St; Halifax; NS B3H 4J1,,,
,,No,,,,Limited,No,Outdoors only,Yard;Balcony;,2;600,2,1 Year,4,2,House,$4000,McLean Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,,1;000,1,1 Year,2,1,Condo,$2350,131 Farnham Gate Rd; Halifax; NS B3M 4A4,,,
;;;;;Storage Space;;,,No,No,No,Yes,Yes,Yes,Outdoors only,Yard;Balcony;,650,0,1 Year,2,1,Apartment,$2200,Halifax; NS B3R 1W4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,,1;800,1,1 Year,3,1,House,$3000,Halifax; NS B3H 2S9,Laundry (In Unit),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,100,0,1 Year,Bachelor/Studio,1,Apartment,$800,Halifax; NS B3M 3W8,,,
,,No,,,,No,No,No,,650,1,1 Year,1,1,House,$1500,8 Higgins Ave; Beechville; NS B3T 1A7,,,
,,Yes,,,,Limited,No,Yes,,1;050,1,1 Year,1,1,Basement,$1600,38 Travertine Ct; Halifax; NS B3R 1X6,,,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,705,0,1 Year,1,1,Apartment,$1975,Gladstone Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
