amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
,,No,Yes,No,Yes,No,No,No,Yard;Balcony;,Not Available,1,1 Year,2,1,Apartment,$2291,6969 Bayers Road; Halifax; NS; B3L 4P3,Laundry (In Building),,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
Gym;;Concierge;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Yes,Yes,No,;Balcony;,976,0,1 Year,2,2,Apartment,$2695,5121 Bishop Street; Halifax; NS; B3J 0E5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,Yes,No,Yard;;,Not Available,1,1 Year,2,1,Apartment,$2050,Main Avenue; Halifax; NS; B3M 1B2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,Limited,Yes,No,Yard;Balcony;,Not Available,2,1 Year,3 + Den,3,House,$2800,John Brackett Drive; Herring Cove; NS; B3V 1G8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,Limited,Yes,No,Yard;Balcony;,Not Available,3+,1 Year,2,1,House,$3200,Golf Links Road; Bedford; NS; B4A 2T8,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,,945,0,1 Year,2,2,Apartment,$2110,3330 Barnstead Lane; Halifax; NS; B3L 0B1,,Dishwasher,
,,No,No,No,Yes,Limited,No,Outdoors only,,700,1,1 Year,1,1,Condo,$1900,Halifax; NS B3K 3R8,Laundry (In Building),,
Gym;;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,510,0,1 Year,1,1,Apartment,$2075,Bilby Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,,600,1,1 Year,1,1,Apartment,$1595,Fiske Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,,680,1,1 Year,2,1,Apartment,$2250,Main Ave; Halifax; NS B3M 1A2,,,
Gym;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,1;300,1,1 Year,2,2,Apartment,$2275,35 Bently Drive; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,No,No,No,;Balcony;,1;050,1,1 Year,2,1,Apartment,$2300,Philip Street; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,729,0,1 Year,1 + Den,1,Apartment,$2075,Cunard Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,Cable / TV;Internet;,No,Yes,Yes,Yes,Limited,No,No,,300,0,Month-to-month,Bachelor/Studio,1,Apartment,$1994,Halifax; NS B3K 3C5,,,
;;;;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,No,Yes,No,,1;045,0,1 Year,2,2,Apartment,$2950,5560 Cunard Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,,Not Available,1,1 Year,1,1.5,House,$1695,5 Saltbush; Halifax; NS; B4P 1P2,,,
,,No,,,,No,No,No,,747,0,1 Year,1,1,Apartment,$2008,200 Willet Street; Halifax; NS; B3M 3C5,Laundry (In Building),,
,,No,,,,No,No,No,,981,0,1 Year,2,1,Apartment,$2481,200 Willet Street; Halifax; NS; B3M 3C5,Laundry (In Building),,
,,No,No,No,Yes,Limited,No,No,;Balcony;,1;250,1,1 Year,2 + Den,2,Townhouse,$2650,John Parr Drive; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,Yes,Yes,No,Yes,No,Yard;;,1;560,2,1 Year,4 + Den,2,House,$3200,Juniper Crescent; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
